OBJECTID_1	OBJECTID	Shape_Leng	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_12	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12_13	OBJECTID_12_13_14	Shape_Leng_1	ORIG_FID_1	RASTERVALU	X	Y
1	1	60.6102502	0	23.94956323	75.23991275	450.4916052	4	2	1	810720.4314	4	1	1	60.6102502	1	-1584	-5758314	1144082.875
2	2	170.7466057	1	60.69765061	190.6875485	2893.575422	1	2	2	810572.4054	1	2	2	170.7466057	2	-1575	-5758138	1144153.625
3	3	43.0197115	2	17.9520294	56.39823723	253.1169309	24	2	3	810956.0949	24	3	3	43.0197115	3	-1584	-5758583	1144049.125
4	4	124.9221001	3	39.76393945	124.9221001	1241.848706	11	2	4	810902.2904	11	4	4	124.9221001	4	-1584	-5758390	1144330.875
5	5	276.1611212	4	96.68243524	303.7369347	7341.5092	5	2	5	810824.2896	5	5	5	276.1611212	5	-1555	-5758239	1144504
6	6	67.63564355	5	21.529094	67.63564355	364.033532	9	2	6	810894.4622	9	6	6	67.63564355	6	-1555	-5758241	1144572.5
7	7	49.55424685	6	15.77360667	49.55424685	195.4122997	21	2	7	810948.8733	21	7	7	49.55424685	7	-1555	-5758290.5	1144584.375
8	8	116.0806082	7	46.31583748	145.5054225	1684.800539	18	2	8	810944.0736	18	8	8	116.0806082	8	-1567	-5758321	1144541.5
9	9	75.21703567	8	30.01775009	94.30326334	707.690848	32	2	9	810974.0042	32	9	9	75.21703567	9	-1567	-5758361.5	1144509
10	10	63.59935859	9	24.4806295	76.90785208	470.6862382	22	2	10	810950.0068	22	10	10	63.59935859	10	-1584	-5758345.5	1144491.875
11	11	39.95968336	10	12.71956226	39.95968336	127.0674201	27	2	11	810960.442	27	11	11	39.95968336	11	-1584	-5758364.5	1144467
12	12	37.67575238	11	11.99256445	37.67575238	112.9572222	30	2	12	810973.358	30	12	12	37.67575238	12	-1584	-5758374	1144474.375
13	13	23.50349497	12	7.481394809	23.50349497	43.95973131	31	2	13	810973.9861	31	13	13	23.50349497	13	-1584	-5758366.5	1144484.625
14	14	73.68253006	13	23.45387776	73.68253006	432.0352633	15	2	14	810926.594	15	14	14	73.68253006	14	-1584	-5758338.5	1144458.125
15	15	26.60375233	14	8.468237377	26.60375233	56.32172246	23	2	15	810952.3521	23	15	15	26.60375233	15	-1584	-5758349	1144475
16	16	15.48160029	15	6.394895196	20.09028089	32.11901022	29	2	16	810963.231	29	16	16	15.48160029	16	-1584	-5758355.5	1144482.25
17	17	15.02297688	16	6.46501705	20.31062335	32.82741163	28	2	17	810961.8417	28	17	17	15.02297688	17	-1584	-5758357	1144476.375
18	18	35.84411866	17	14.89228684	46.78553658	174.1860478	36	2	18	811003.1527	36	18	18	35.84411866	18	-1567	-5758394	1144498.5
19	19	111.2147126	18	35.4007425	111.2147126	984.2708507	7	2	19	810876.9457	7	19	19	111.2147126	19	-1555	-5758208.5	1144612.875
20	20	67.18555211	19	25.58349663	80.37320453	514.0586892	6	2	20	810861.5336	6	20	20	67.18555211	20	-1555	-5758205.5	1144576.875
21	21	97.50343186	20	36.52102435	114.7344625	1047.557588	20	2	21	810947.5091	20	21	21	97.50343186	21	-1555	-5758265	1144639
22	22	23.54733114	21	8.361219171	26.26753975	54.90715385	19	2	22	810944.453	19	22	22	23.54733114	22	-1555	-5758271	1144602
